price_per_tonne,yield_t_per_m2
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
481,0.00881
